proteogenic,endometabolomic
2.938602587,5.216624019
3.930800189,5.180519015
3.930800189,5.180519015
3.930800189,5.180519015
3.951332639,4.796560112
3.815729218,3.737361792
0.421772019,2.845144099
2.936344401,5.261744455
2.993591241,5.092326303
3.386397574,5.607490328
4.110685691,5.747252271
3.386397574,5.607490328
4.072494892,6.279131303
4.086646071,6.258077894
4.086646071,6.258077894
4.086646071,6.258077894
5.023333431,5.145672283
5.023333431,5.145672283
3.201719077,3.210583197
3.714181946,3.296246592
3.714181946,3.296246592
3.744084506,3.771435137
3.696338812,3.702789139
3.674080342,3.672508017
3.661578973,3.250951907
3.680388259,3.266520445
0.414862609,3.165143293
4.636217462,4.081906726
4.636217462,4.081906726
-2.97863348,-1.633120406
-2.979360688,-1.633354142
0.125428927,2.622137825
-0.419005567,3.467424165
3.761090248,3.757665597
3.655387018,3.706031942
6.491692745,6.465717259
7.644372255,7.644372255
7.356690183,7.356690183
3.375838263,3.262345621
7.564329548,7.564329548
6.797074395,6.797074395
4.176032198,3.957578308
4.155466056,3.963858844
4.120462701,3.963861051
3.43100781,3.27176429
7.564329548,7.490221576
7.184839926,7.184839926
7.184839926,7.184839926
3.416319752,3.269664002
8.013505434,7.987684498
6.993784689,6.993784689
6.951225075,6.91040308
7.356690183,7.356690183
7.826693812,7.826693812
8.121910868,8.096090748
9.008122652,8.982320996
8.497297028,8.47148902
8.013505434,7.987684498
8.497297028,8.47148902
1.824782049,1.86080299
-2.544657582,-1.24845665
-2.978607162,-1.632917791
-2.53976973,-1.241771894
3.780138386,3.774907352
2.462118898,2.417729024
-1.850501487,-0.551329263
4.147864694,4.122925746
7.564329548,7.490221576
6.086227637,6.068835895
0.056087981,0.737283621